Date,Region,Disease,Temperature_C,Rainfall_mm,Humidity_Percent,Population_Density,Case_Count
2023-03-28,Southeast Asia,Dengue,37.86,119.54,78.42,5000,65
2023-03-29,Europe,Malaria,32.68,92.9,77.57,2000,45
2023-03-30,Southeast Asia,Malaria,41.94,43.98,83.43,300,16
2023-03-31,Middle East,Cholera,33.58,132.67,80.32,1000,21
2023-04-01,Asia,Tuberculosis,31.51,160.39,74.34,500,24
2023-04-02,Oceania,Typhoid,33.8,120.45,88.71,1000,35
2023-04-03,Southeast Asia,Dengue,27.58,145.59,74.68,150,74
2023-04-04,Asia,Dengue,31.28,136.56,80.52,300,72
2023-04-05,North America,Cholera,30.06,129.96,75.62,1000,25
2023-04-06,Asia,Influenza,38.96,152.15,71.69,50,38
2023-04-07,North America,Cholera,40.03,170.97,70.39,50,33
2023-04-08,North America,COVID-19,37.46,118.77,80.21,50,38
2023-04-09,Asia,Tuberculosis,30.88,138.21,61.78,2000,15
2023-04-10,Southeast Asia,Cholera,32.9,102.57,86.15,1000,14
2023-04-11,Europe,Typhoid,32.34,143.92,85.2,150,19
2023-04-12,Southeast Asia,Measles,37.15,140.31,73.08,150,35
2023-04-13,South America,Dengue,34.26,121.99,78.34,2000,47
2023-04-14,Middle East,COVID-19,34.0,159.86,85.92,500,21
2023-04-15,Middle East,Typhoid,40.06,81.44,77.23,5000,27
2023-04-16,North America,Dengue,34.5,121.32,76.95,50,45
2023-04-17,Middle East,COVID-19,31.89,165.49,79.78,5000,30
2023-04-18,South America,Cholera,36.36,149.22,82.05,150,41
2023-04-19,Asia,Typhoid,31.17,123.19,81.73,150,35
2023-04-20,Middle East,Malaria,33.6,143.52,84.38,300,49
2023-04-21,Southeast Asia,Cholera,35.3,133.93,76.9,5000,45
2023-04-22,South America,Typhoid,36.14,164.41,84.52,5000,40
2023-04-23,South America,Influenza,35.71,130.69,79.61,2000,32
2023-04-24,North America,Dengue,33.95,157.85,73.9,5000,104
2023-04-25,Asia,Malaria,30.64,103.57,83.78,500,58
2023-04-26,Southeast Asia,Typhoid,35.53,158.85,77.93,150,26
2023-04-27,Middle East,Influenza,33.89,119.69,82.87,150,31
2023-04-28,Middle East,Influenza,31.18,130.36,80.06,500,29
2023-04-29,Africa,Typhoid,31.19,147.31,79.22,300,29
2023-04-30,Middle East,Typhoid,32.25,146.96,70.75,150,19
2023-05-01,Asia,Tuberculosis,27.84,162.88,74.05,150,32
2023-05-02,North America,Influenza,32.57,164.48,72.4,2000,24
2023-05-03,Oceania,Influenza,29.94,160.62,74.11,50,26
2023-05-04,Southeast Asia,Malaria,31.56,215.26,71.96,50,90
2023-05-05,South America,Malaria,32.07,157.25,73.62,50,63
2023-05-06,South America,Cholera,30.29,146.09,72.62,500,39
2023-05-07,South America,Cholera,34.35,198.06,83.27,1000,34
2023-05-08,North America,Dengue,32.62,174.78,83.45,500,52
2023-05-09,Oceania,Tuberculosis,27.48,151.3,61.88,150,19
2023-05-10,Oceania,Cholera,27.72,173.79,74.21,300,62
2023-05-11,Middle East,Malaria,32.85,151.97,68.01,2000,71
2023-05-12,Africa,Typhoid,26.04,224.23,78.4,300,42
2023-05-13,South America,Influenza,24.86,209.9,71.93,500,52
2023-05-14,South America,Dengue,25.22,151.3,72.53,1000,61
2023-05-15,Asia,Tuberculosis,28.65,187.97,67.16,150,21
2023-05-16,Oceania,Dengue,30.36,184.72,76.06,150,47
2023-05-17,Oceania,Tuberculosis,25.4,207.61,74.16,150,17
2023-05-18,Southeast Asia,Tuberculosis,34.65,172.75,78.4,1000,23
2023-05-19,North America,Tuberculosis,36.18,221.94,71.26,2000,30
2023-05-20,South America,Malaria,31.94,210.34,67.68,300,95
2023-05-21,South America,Dengue,33.18,116.52,66.58,2000,20
2023-05-22,Europe,Tuberculosis,29.19,190.81,80.01,300,23
2023-05-23,Asia,COVID-19,34.89,127.88,63.98,150,32
2023-05-24,Africa,Typhoid,31.15,168.3,62.16,300,37
2023-05-25,North America,Dengue,26.09,189.37,74.33,2000,51
2023-05-26,Middle East,Tuberculosis,28.46,137.51,72.19,50,29
2023-05-27,North America,COVID-19,27.04,184.4,69.85,5000,31
2023-05-28,Europe,Tuberculosis,29.68,138.22,69.73,150,14
2023-05-29,Southeast Asia,Measles,35.89,170.34,69.0,1000,35
2023-05-30,North America,Dengue,29.66,162.65,75.57,50,79
2023-05-31,Europe,Influenza,28.41,152.01,71.12,5000,12
2023-06-01,Oceania,Malaria,20.45,221.01,73.22,500,74
2023-06-02,Europe,Influenza,26.73,189.34,80.39,300,49
2023-06-03,Oceania,Influenza,24.62,151.33,56.97,300,40
2023-06-04,Asia,Cholera,22.73,137.33,61.77,2000,22
2023-06-05,South America,COVID-19,30.06,206.45,64.96,5000,57
2023-06-06,Middle East,Malaria,25.23,154.16,72.62,150,71
2023-06-07,Europe,Malaria,21.89,174.29,60.62,500,39
2023-06-08,North America,Malaria,27.78,237.28,58.01,2000,101
2023-06-09,Oceania,Measles,23.05,165.39,62.04,5000,32
2023-06-10,Asia,Tuberculosis,25.15,155.07,66.35,150,22
2023-06-11,South America,Measles,24.28,152.77,62.12,5000,52
2023-06-12,North America,Typhoid,26.5,150.67,65.5,150,43
2023-06-13,Asia,Typhoid,19.99,196.3,61.69,300,52
2023-06-14,Africa,Cholera,22.71,125.85,56.86,150,30
2023-06-15,North America,Cholera,25.78,152.87,68.19,500,17
2023-06-16,Oceania,Tuberculosis,24.8,143.67,61.74,5000,22
2023-06-17,South America,Tuberculosis,22.42,168.46,70.03,300,18
2023-06-18,Middle East,COVID-19,27.51,146.11,67.65,50,51
2023-06-19,South America,Tuberculosis,17.59,156.09,67.89,150,20
2023-06-20,Africa,Influenza,26.11,161.88,65.43,50,35
2023-06-21,Middle East,COVID-19,28.5,187.63,66.69,2000,33
2023-06-22,Oceania,Measles,23.54,167.02,66.97,1000,34
2023-06-23,South America,Measles,25.87,242.26,69.36,1000,34
2023-06-24,Asia,Tuberculosis,28.6,167.76,54.81,50,15
2023-06-25,Middle East,Influenza,19.39,169.45,65.09,1000,62
2023-06-26,Asia,COVID-19,25.98,173.43,69.15,500,12
2023-06-27,South America,COVID-19,25.71,203.13,57.61,1000,51
2023-06-28,Oceania,Dengue,26.02,167.54,68.16,2000,110
2023-06-29,Africa,Tuberculosis,25.55,187.45,62.7,2000,16
2023-06-30,Middle East,COVID-19,27.49,154.32,65.36,500,31
2023-07-01,Africa,Malaria,21.44,179.29,62.69,150,57
2023-07-02,Middle East,Measles,19.19,139.92,55.28,2000,47
2023-07-03,Europe,Tuberculosis,22.27,141.62,61.85,500,31
2023-07-04,North America,Tuberculosis,21.24,225.59,53.63,300,13
2023-07-05,Asia,Measles,14.66,214.16,60.77,5000,46
2023-07-06,Oceania,Typhoid,20.84,135.52,69.73,500,33
2023-07-07,Southeast Asia,Cholera,20.33,191.06,59.91,1000,46
2023-07-08,Southeast Asia,Malaria,17.63,183.43,66.91,2000,96
2023-07-09,South America,Tuberculosis,24.78,153.95,52.55,1000,21
2023-07-10,Oceania,Dengue,20.17,202.11,49.04,5000,108
2023-07-11,Asia,Tuberculosis,19.53,156.48,52.44,150,11
2023-07-12,Asia,Malaria,22.47,171.48,51.05,50,40
2023-07-13,North America,Cholera,18.99,219.35,56.2,500,26
2023-07-14,South America,Typhoid,19.26,161.1,44.02,500,36
2023-07-15,Asia,Measles,19.31,190.17,66.74,500,54
2023-07-16,Middle East,Cholera,19.19,136.09,70.37,150,32
2023-07-17,North America,Dengue,20.04,168.56,58.49,5000,61
2023-07-18,Middle East,Cholera,18.28,152.88,57.34,150,29
2023-07-19,Southeast Asia,Influenza,17.86,172.47,56.23,1000,61
2023-07-20,Asia,Dengue,12.05,202.03,63.73,500,27
2023-07-21,Europe,Typhoid,18.97,158.14,50.46,2000,28
2023-07-22,Oceania,Typhoid,16.67,221.85,62.18,1000,68
2023-07-23,Middle East,Typhoid,22.17,135.41,54.88,150,36
2023-07-24,Southeast Asia,Typhoid,16.33,190.67,56.3,300,38
2023-07-25,Asia,Tuberculosis,22.13,182.61,55.7,5000,29
2023-07-26,Southeast Asia,Cholera,16.76,187.76,60.47,300,38
2023-07-27,Southeast Asia,Dengue,20.98,131.75,62.12,2000,50
2023-07-28,Africa,Cholera,18.43,200.75,53.98,300,26
2023-07-29,Oceania,COVID-19,15.33,187.46,51.1,1000,66
2023-07-30,South America,Malaria,13.75,220.18,58.56,150,76
2023-07-31,Asia,Measles,18.37,181.26,57.31,2000,56
2023-08-01,Europe,Cholera,16.68,144.51,50.19,50,33
2023-08-02,Middle East,Measles,17.26,88.69,45.27,300,50
2023-08-03,Southeast Asia,Measles,16.85,134.48,52.1,50,45
2023-08-04,Asia,Measles,14.72,116.65,52.99,500,30
2023-08-05,North America,Measles,17.56,88.92,57.16,500,47
2023-08-06,North America,COVID-19,17.11,169.48,60.34,300,54
2023-08-07,Middle East,Measles,10.82,101.61,48.89,1000,45
2023-08-08,Asia,Typhoid,17.89,118.23,52.94,150,22
2023-08-09,Africa,Measles,14.51,97.8,47.39,500,25
2023-08-10,North America,Measles,13.41,171.61,47.26,300,78
2023-08-11,Middle East,Malaria,17.82,145.55,47.72,5000,69
2023-08-12,Southeast Asia,Malaria,14.61,143.66,64.81,1000,54
2023-08-13,North America,Measles,19.79,118.9,51.83,1000,62
2023-08-14,North America,Dengue,14.46,194.37,55.55,2000,59
2023-08-15,Middle East,Malaria,18.24,169.18,55.12,5000,34
2023-08-16,Southeast Asia,Malaria,14.16,132.57,51.64,50,62
2023-08-17,Africa,Measles,16.87,99.94,53.91,300,49
2023-08-18,Asia,Typhoid,18.02,172.42,56.18,300,45
2023-08-19,Oceania,Measles,16.13,90.17,54.16,300,44
2023-08-20,Middle East,Tuberculosis,17.15,101.7,46.6,5000,28
2023-08-21,South America,Typhoid,16.22,160.45,52.15,50,37
2023-08-22,North America,COVID-19,19.15,124.52,52.49,150,34
2023-08-23,South America,Influenza,15.04,130.72,53.12,5000,40
2023-08-24,North America,Cholera,20.11,113.16,51.08,150,24
2023-08-25,North America,Malaria,20.68,145.9,57.17,150,32
2023-08-26,Europe,Typhoid,17.14,166.69,52.42,2000,51
2023-08-27,South America,Cholera,14.79,182.28,63.5,500,37
2023-08-28,Africa,COVID-19,15.0,183.6,59.91,150,35
2023-08-29,South America,Malaria,15.08,131.55,45.29,300,38
2023-08-30,South America,Influenza,13.33,116.97,51.84,300,46
2023-08-31,Middle East,Measles,20.99,110.05,56.93,2000,38
2023-09-01,Asia,Dengue,14.85,120.24,44.39,1000,54
2023-09-02,Asia,Dengue,15.5,114.77,51.45,2000,82
2023-09-03,Africa,Dengue,13.09,84.07,46.88,5000,31
2023-09-04,North America,COVID-19,13.09,135.67,57.1,1000,36
2023-09-05,Middle East,COVID-19,12.5,114.14,47.24,50,52
2023-09-06,Oceania,Influenza,15.61,54.53,57.74,5000,72
2023-09-07,Middle East,Typhoid,13.16,88.37,51.43,50,24
2023-09-08,Middle East,COVID-19,16.98,160.31,49.12,2000,33
2023-09-09,Southeast Asia,Malaria,10.86,78.07,49.83,500,54
2023-09-10,Europe,Tuberculosis,13.45,106.71,49.92,1000,28
2023-09-11,Southeast Asia,Typhoid,22.58,84.07,47.55,500,28
2023-09-12,Africa,COVID-19,17.05,155.4,52.92,5000,41
2023-09-13,Asia,Dengue,16.77,133.26,54.1,300,61
2023-09-14,Southeast Asia,Cholera,18.2,135.08,56.91,5000,41
2023-09-15,Southeast Asia,Measles,14.5,104.4,56.03,300,32
2023-09-16,North America,Typhoid,16.11,88.2,50.14,5000,34
2023-09-17,Oceania,Malaria,15.57,101.39,43.2,500,53
2023-09-18,Asia,COVID-19,16.94,164.9,48.46,5000,49
2023-09-19,Africa,COVID-19,15.75,147.32,49.52,300,45
2023-09-20,Africa,Influenza,16.82,105.6,47.77,1000,45
2023-09-21,Asia,Dengue,18.22,69.2,50.66,150,27
2023-09-22,Middle East,Typhoid,18.59,54.3,47.21,1000,18
2023-09-23,Asia,Typhoid,19.7,98.03,47.22,2000,40
2023-09-24,Southeast Asia,Typhoid,10.66,34.04,52.2,5000,12
2023-09-25,North America,Dengue,11.94,121.25,51.22,300,40
2023-09-26,Asia,Measles,11.16,126.17,53.25,2000,45
2023-09-27,Asia,Tuberculosis,20.54,67.9,42.37,2000,17
2023-09-28,Oceania,Typhoid,14.86,107.3,48.79,1000,29
2023-09-29,Oceania,Measles,11.25,143.31,49.59,2000,61
2023-09-30,Oceania,COVID-19,16.03,113.7,52.85,2000,49
2023-10-01,Southeast Asia,Tuberculosis,18.27,99.87,52.99,300,26
2023-10-02,Africa,Cholera,16.07,103.2,48.63,50,39
2023-10-03,Asia,COVID-19,16.22,17.08,52.65,50,33
2023-10-04,Europe,Cholera,18.86,40.42,49.78,150,5
2023-10-05,Southeast Asia,Tuberculosis,14.98,0.0,44.09,2000,26
2023-10-06,Africa,Dengue,18.7,72.76,47.17,5000,35
2023-10-07,Asia,Tuberculosis,16.33,25.25,59.53,150,27
2023-10-08,Oceania,Malaria,15.68,60.81,53.05,300,12
2023-10-09,North America,Malaria,15.6,39.54,47.0,300,22
2023-10-10,North America,Influenza,21.73,79.23,49.15,1000,47
2023-10-11,Africa,Malaria,20.54,87.74,52.31,2000,32
2023-10-12,Southeast Asia,Dengue,18.43,71.8,56.49,5000,41
2023-10-13,North America,Tuberculosis,19.49,43.94,58.6,500,23
2023-10-14,Southeast Asia,Typhoid,22.57,39.32,60.69,300,13
2023-10-15,Europe,Influenza,14.39,45.48,50.41,300,48
2023-10-16,Southeast Asia,Dengue,17.91,42.79,51.89,5000,43
2023-10-17,South America,Measles,21.52,73.09,52.2,500,41
2023-10-18,South America,Influenza,18.18,29.32,50.72,150,20
2023-10-19,Europe,Tuberculosis,17.54,79.42,49.59,50,32
2023-10-20,Asia,Dengue,12.66,16.07,53.13,1000,22
2023-10-21,Middle East,Cholera,21.39,46.23,57.4,5000,16
2023-10-22,Middle East,Typhoid,15.82,86.51,55.27,500,11
2023-10-23,Africa,Measles,20.77,101.4,48.88,300,44
2023-10-24,North America,Dengue,17.82,67.82,49.26,5000,27
2023-10-25,Asia,Cholera,16.26,95.18,54.73,300,21
2023-10-26,South America,Malaria,18.65,0.0,57.75,150,6
2023-10-27,Europe,Dengue,15.25,26.41,45.54,150,28
2023-10-28,North America,Measles,14.94,70.4,51.78,500,49
2023-10-29,Southeast Asia,Tuberculosis,16.57,21.51,56.99,50,18
2023-10-30,Asia,Tuberculosis,11.67,47.16,59.51,2000,26
2023-10-31,Africa,Typhoid,15.29,49.52,50.4,50,24
2023-11-01,Asia,Tuberculosis,21.15,43.62,62.65,5000,23
2023-11-02,Asia,Measles,19.22,24.83,57.14,50,39
2023-11-03,Asia,Malaria,22.18,32.28,61.16,300,23
2023-11-04,Europe,Dengue,20.24,0.0,62.08,50,15
2023-11-05,Europe,Tuberculosis,22.99,0.0,67.94,1000,21
2023-11-06,Africa,Typhoid,23.32,0.0,60.56,50,3
2023-11-07,Southeast Asia,Tuberculosis,18.13,88.14,56.55,2000,23
2023-11-08,Middle East,Tuberculosis,22.61,45.59,58.25,1000,24
2023-11-09,Southeast Asia,Typhoid,27.21,28.99,58.51,50,14
2023-11-10,North America,Measles,23.32,66.33,60.69,2000,26
2023-11-11,Oceania,Tuberculosis,24.9,0.0,59.01,50,17
2023-11-12,South America,Cholera,19.81,40.58,59.11,2000,15
2023-11-13,North America,Tuberculosis,24.84,44.32,56.28,1000,28
2023-11-14,North America,Malaria,23.57,0.0,60.49,500,17
2023-11-15,Southeast Asia,Tuberculosis,19.11,71.99,56.75,150,22
2023-11-16,Middle East,Typhoid,19.48,31.19,52.02,50,6
2023-11-17,Southeast Asia,COVID-19,24.78,5.31,52.54,500,13
2023-11-18,Oceania,COVID-19,18.08,0.0,65.71,2000,55
2023-11-19,South America,Malaria,17.94,98.29,62.41,300,38
2023-11-20,Middle East,Typhoid,12.5,99.45,50.55,300,12
2023-11-21,Middle East,Influenza,23.07,103.91,64.42,500,45
2023-11-22,South America,COVID-19,21.78,56.32,61.29,300,42
2023-11-23,Oceania,Dengue,20.31,28.84,53.73,5000,20
2023-11-24,Middle East,Influenza,14.92,27.77,52.56,2000,29
2023-11-25,Southeast Asia,Measles,20.54,72.48,62.09,50,21
2023-11-26,Asia,COVID-19,17.03,58.94,52.59,1000,39
2023-11-27,Southeast Asia,Typhoid,21.65,1.67,58.03,5000,4
2023-11-28,North America,Cholera,18.2,40.31,49.54,300,14
2023-11-29,Europe,Tuberculosis,19.94,47.29,58.62,500,30
2023-11-30,Southeast Asia,Dengue,20.38,17.84,58.11,50,22
2023-12-01,Asia,Malaria,25.15,21.22,61.49,300,17
2023-12-02,North America,Measles,20.79,72.49,58.78,50,31
2023-12-03,Asia,Dengue,22.84,46.85,63.53,500,39
2023-12-04,South America,Malaria,22.98,28.37,60.82,500,37
2023-12-05,Africa,Tuberculosis,21.44,29.29,68.17,500,24
2023-12-06,Southeast Asia,Typhoid,24.44,16.11,65.22,150,7
2023-12-07,Southeast Asia,Malaria,27.89,86.32,62.21,500,24
2023-12-08,Asia,Malaria,24.74,97.39,60.98,5000,65
2023-12-09,South America,Tuberculosis,30.03,3.39,67.84,5000,34
2023-12-10,Middle East,COVID-19,23.86,13.89,62.09,5000,29
2023-12-11,Africa,Influenza,23.05,0.0,65.17,300,29
2023-12-12,Africa,Typhoid,25.7,0.0,66.65,5000,9
2023-12-13,Europe,Typhoid,19.02,31.22,71.14,1000,7
2023-12-14,Southeast Asia,COVID-19,30.02,32.57,61.47,300,34
2023-12-15,Middle East,Typhoid,26.67,22.28,67.69,300,6
2023-12-16,Asia,Cholera,25.51,0.0,64.44,1000,4
2023-12-17,Middle East,Cholera,22.79,57.08,70.46,5000,22
2023-12-18,Middle East,Influenza,21.72,10.51,71.07,300,41
2023-12-19,Southeast Asia,Measles,31.96,31.8,65.96,500,31
2023-12-20,Europe,Typhoid,25.4,15.43,68.54,50,10
2023-12-21,Europe,COVID-19,22.64,0.0,55.82,5000,50
2023-12-22,South America,Typhoid,21.69,0.0,66.94,50,8
2023-12-23,Southeast Asia,Influenza,24.98,45.15,65.41,2000,38
2023-12-24,Europe,Measles,27.76,11.29,66.34,5000,45
2023-12-25,Europe,Dengue,23.0,49.76,64.13,500,22
2023-12-26,Africa,COVID-19,26.61,0.0,65.14,1000,37
2023-12-27,Middle East,Dengue,28.26,34.24,64.87,5000,32
2023-12-28,Oceania,Measles,29.17,36.73,65.05,300,21
2023-12-29,Southeast Asia,Influenza,21.8,10.84,61.95,1000,37
2023-12-30,South America,Cholera,25.17,35.89,64.65,2000,15
2023-12-31,Africa,Cholera,25.19,0.0,60.3,2000,5
2024-01-01,South America,Measles,26.37,48.72,80.15,50,50
2024-01-02,South America,Typhoid,29.36,75.44,73.24,150,18
2024-01-03,Africa,Influenza,28.16,21.64,70.56,50,37
2024-01-04,Oceania,Influenza,30.48,30.81,74.68,300,47
2024-01-05,Oceania,COVID-19,32.85,0.0,59.73,500,43
2024-01-06,Europe,Cholera,25.9,23.98,66.65,1000,4
2024-01-07,Middle East,Malaria,31.62,53.49,69.62,150,7
2024-01-08,Europe,Dengue,28.36,42.47,65.11,1000,29
2024-01-09,Middle East,Cholera,29.95,48.1,73.1,500,10
2024-01-10,Europe,Cholera,33.59,25.96,72.36,500,7
2024-01-11,Africa,Typhoid,28.67,4.17,71.64,300,9
2024-01-12,North America,Typhoid,25.88,0.0,79.86,300,4
2024-01-13,Europe,Dengue,27.99,61.92,69.47,500,52
2024-01-14,Oceania,Tuberculosis,32.03,16.08,83.29,2000,18
2024-01-15,Middle East,Tuberculosis,32.23,39.7,79.01,500,34
2024-01-16,Africa,Cholera,30.1,8.12,74.8,500,5
2024-01-17,Southeast Asia,Dengue,36.04,34.81,70.67,150,29
2024-01-18,Middle East,COVID-19,25.96,1.57,78.5,1000,30
2024-01-19,Africa,Tuberculosis,26.86,46.82,78.43,50,27
2024-01-20,Middle East,Tuberculosis,32.99,8.01,65.39,50,33
2024-01-21,North America,Typhoid,29.03,23.19,79.14,5000,14
2024-01-22,Africa,Cholera,31.37,95.67,69.28,1000,31
2024-01-23,Oceania,Cholera,30.17,38.78,80.14,2000,15
2024-01-24,Asia,Tuberculosis,31.61,62.89,70.68,2000,17
2024-01-25,Europe,Dengue,26.87,0.0,82.78,2000,10
2024-01-26,North America,Tuberculosis,29.34,22.41,74.04,5000,28
2024-01-27,Southeast Asia,Influenza,32.58,13.23,71.66,1000,37
2024-01-28,Oceania,Malaria,29.25,78.94,74.95,50,48
2024-01-29,Africa,COVID-19,31.99,65.92,73.41,2000,21
2024-01-30,Middle East,Malaria,31.2,11.18,69.86,150,23
2024-01-31,Europe,COVID-19,33.71,31.36,74.04,1000,51
2024-02-01,Africa,Malaria,34.38,138.05,80.82,300,27
2024-02-02,Southeast Asia,Tuberculosis,35.92,71.43,84.44,2000,28
2024-02-03,Oceania,Dengue,33.24,23.27,76.95,500,17
2024-02-04,South America,Malaria,31.92,77.66,86.34,5000,44
2024-02-05,Asia,Measles,30.07,73.34,83.97,5000,32
2024-02-06,Oceania,Dengue,33.26,60.44,74.07,5000,41
2024-02-07,Middle East,Influenza,33.3,72.59,73.55,300,29
2024-02-08,South America,Typhoid,35.83,48.82,86.63,300,13
2024-02-09,Africa,Measles,34.33,87.98,70.9,5000,17
2024-02-10,Oceania,Dengue,29.08,97.88,75.23,2000,79
2024-02-11,Asia,Typhoid,31.97,65.54,85.7,50,29
2024-02-12,Oceania,Cholera,39.84,96.25,83.11,2000,29
2024-02-13,South America,Typhoid,36.0,43.46,73.9,2000,14
2024-02-14,Africa,Measles,33.15,46.4,81.47,50,43
2024-02-15,Europe,Influenza,33.93,104.33,72.28,50,31
2024-02-16,Africa,Typhoid,31.51,4.0,77.58,50,5
2024-02-17,South America,Cholera,38.2,78.92,72.87,1000,33
2024-02-18,Europe,Measles,37.32,77.46,76.86,500,22
2024-02-19,Oceania,Measles,32.54,92.66,87.41,1000,50
2024-02-20,Europe,Measles,32.19,26.41,78.69,2000,16
2024-02-21,South America,Typhoid,34.63,55.57,75.66,1000,8
2024-02-22,Middle East,Tuberculosis,35.2,44.02,72.14,50,3
2024-02-23,Oceania,Cholera,33.58,113.17,86.3,500,24
2024-02-24,Southeast Asia,Cholera,31.85,74.06,73.0,5000,24
2024-02-25,Oceania,Dengue,35.96,96.81,77.49,2000,43
2024-02-26,Oceania,COVID-19,31.03,35.19,76.86,50,38
2024-02-27,Middle East,Tuberculosis,36.4,35.9,85.45,150,21
2024-02-28,South America,Typhoid,33.6,37.58,65.87,50,15
2024-02-29,Asia,Influenza,35.87,51.56,78.33,50,37
2024-03-01,Oceania,Cholera,30.31,84.13,83.97,150,13
2024-03-02,Asia,Dengue,35.88,59.3,82.33,5000,34
2024-03-03,Asia,Cholera,30.15,134.94,76.33,5000,26
2024-03-04,Asia,COVID-19,35.6,134.46,74.92,5000,37
2024-03-05,Europe,Influenza,36.29,120.79,80.88,300,28
2024-03-06,Europe,Malaria,32.52,102.58,74.64,1000,5
2024-03-07,Africa,Malaria,36.31,127.12,68.19,50,38
2024-03-08,North America,Malaria,36.86,161.72,80.1,50,51
2024-03-09,Oceania,Cholera,34.45,141.25,76.77,1000,25
2024-03-10,Oceania,Influenza,33.55,71.4,80.61,150,49
2024-03-11,Africa,Influenza,35.97,92.43,78.54,150,17
2024-03-12,Middle East,Dengue,37.65,97.66,79.1,2000,91
2024-03-13,South America,Typhoid,35.9,77.45,77.87,500,27
2024-03-14,Oceania,Dengue,35.34,56.85,84.6,500,27
2024-03-15,Asia,Influenza,40.62,132.4,77.76,2000,43
2024-03-16,Africa,Typhoid,35.2,125.58,82.42,2000,23
2024-03-17,North America,Influenza,33.07,130.9,78.33,500,29
2024-03-18,Middle East,Measles,32.13,112.71,90.0,2000,24
2024-03-19,South America,Typhoid,35.07,142.37,79.6,2000,39
2024-03-20,Southeast Asia,Dengue,31.81,112.85,79.06,50,65
2024-03-21,Oceania,Malaria,38.56,177.69,82.9,50,77
2024-03-22,Europe,Tuberculosis,35.58,89.41,81.69,1000,21
